available_from,as_of,currency,net_oi,pct3y
2022-11-25 22:30:00,2022-11-22,CHF,-0.3493243243243243,3.5256410256410255
2022-12-02 22:30:00,2022-11-29,CHF,-0.34446324951644103,4.166666666666667
2022-12-09 22:30:00,2022-12-06,CHF,-0.3044484827363023,10.576923076923077
2022-12-16 22:30:00,2022-12-13,CHF,-0.239379813538711,20.192307692307693
2022-12-23 22:30:00,2022-12-20,CHF,-0.13528628495339548,37.5
2022-12-30 22:30:00,2022-12-27,CHF,-0.13838732370774848,37.5
2023-01-06 22:30:00,2023-01-03,CHF,-0.08583458646616542,42.62820512820513
2023-01-13 22:30:00,2023-01-10,CHF,-0.2215475260025251,25.32051282051282
2023-01-20 22:30:00,2023-01-17,CHF,-0.23151603498542275,22.115384615384617
2023-01-27 22:30:00,2023-01-24,CHF,-0.2688305813164442,15.705128205128204
2023-02-03 22:30:00,2023-01-31,CHF,-0.2168209675316208,28.525641025641026
2023-02-10 22:30:00,2023-02-07,CHF,-0.16394624375675815,37.5
2023-02-17 22:30:00,2023-02-14,CHF,-0.198664573967173,32.37179487179487
2023-02-24 22:30:00,2023-02-21,CHF,-0.16680737841225984,37.5
2023-03-03 22:30:00,2023-02-28,CHF,-0.1170965206830035,46.47435897435897
2023-03-10 22:30:00,2023-03-07,CHF,-0.08450101615146005,48.3974358974359
2023-03-17 22:30:00,2023-03-14,CHF,-0.2554735168948367,20.192307692307693
2023-03-24 22:30:00,2023-03-21,CHF,-0.20361637413846026,32.37179487179487
2023-03-31 22:30:00,2023-03-28,CHF,-0.1742598117971081,38.14102564102564
2023-04-07 22:30:00,2023-04-04,CHF,-0.21526750410199855,30.44871794871795
2023-04-14 22:30:00,2023-04-11,CHF,-0.17595108695652173,38.782051282051285
2023-04-21 22:30:00,2023-04-18,CHF,-0.11548813310496697,50.32051282051282
2023-04-28 22:30:00,2023-04-25,CHF,-0.08759823653440675,51.6025641025641
2023-05-05 22:30:00,2023-05-02,CHF,-0.06933943723844535,54.166666666666664
2023-05-12 22:30:00,2023-05-09,CHF,-0.10295236119753855,50.96153846153846
2023-05-19 22:30:00,2023-05-16,CHF,-0.04255854948375724,57.37179487179487
2023-05-26 22:30:00,2023-05-23,CHF,-0.020152651312265665,59.294871794871796
2023-06-02 22:30:00,2023-05-30,CHF,-0.010518934081346423,60.57692307692308
2023-06-09 22:30:00,2023-06-06,CHF,-0.02980470433461111,58.65384615384615
2023-06-16 22:30:00,2023-06-13,CHF,-0.10470693270768017,50.96153846153846
2023-06-23 22:30:00,2023-06-20,CHF,-0.13427258635961029,47.11538461538461
2023-06-30 22:30:00,2023-06-27,CHF,-0.13232028679204902,47.756410256410255
2023-07-06 22:30:00,2023-07-03,CHF,-0.0837619035901474,56.08974358974359
2023-07-14 22:30:00,2023-07-11,CHF,-0.18150724238459243,37.5
2023-07-21 22:30:00,2023-07-18,CHF,-0.23629463355934557,22.115384615384617
2023-07-28 22:30:00,2023-07-25,CHF,-0.19083295608872794,36.217948717948715
2023-08-04 22:30:00,2023-08-01,CHF,-0.1988722915671964,34.93589743589744
2023-08-11 22:30:00,2023-08-08,CHF,-0.12643198367422662,52.88461538461539
