pair,run,family,direction,label,params,n_full,full_r,full_rpt,oos_w1,oos_w2,oos_w3,oos_w4,honest_r,oos_trades,oos_rpt,strict,ctrl_pctile,ctrl_null_med,ctrl_null_p95,ctrl_eff_ok,ctrl_beta
USDJPY,B_hold,cross,long,directionlong_exithold20_sl3_familycross_triggerzero,"{'direction': 'long', 'exit': 'hold20_sl3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",87,5.628,0.06469,-0.46,-3.383,4.718,5.101,5.977,33,0.18113,0,,,,,
USDJPY,B_hold,cross,short,directionshort_exithold20_sl3_familycross_triggersig,"{'direction': 'short', 'exit': 'hold20_sl3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",176,-4.113,-0.02337,-0.053,-5.551,0.968,-1.764,-6.4,72,-0.08889,0,55.0,-7.009,0.978,0,
USDJPY,B_hold,cross,short,directionshort_exithold20_sl3_familycross_triggerzero,"{'direction': 'short', 'exit': 'hold20_sl3', 'family': 'cross', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'zero'}",88,5.74,0.06523,5.855,-6.89,-4.519,2.31,-3.243,35,-0.09266,0,,,,,
USDJPY,C_ext,ext,long,directionlong_exitsym3_familyext_lookback126_q0.05,"{'direction': 'long', 'exit': 'sym3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",178,-0.76,-0.00427,-0.074,1.588,0.685,-1.784,0.415,66,0.00629,0,,,,,
USDJPY,C_ext,ext,long,directionlong_exitsym3_familyext_lookback126_q0.1,"{'direction': 'long', 'exit': 'sym3', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",227,0.344,0.00152,-0.826,2.278,1.452,-1.762,1.143,90,0.0127,0,,,,,
USDJPY,C_ext,ext,long,directionlong_exitsym3_familyext_lookback252_q0.05,"{'direction': 'long', 'exit': 'sym3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",126,1.15,0.00913,-0.144,1.29,0.498,-1.906,-0.263,49,-0.00536,0,,,,,
USDJPY,C_ext,ext,long,directionlong_exitsym3_familyext_lookback252_q0.1,"{'direction': 'long', 'exit': 'sym3', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",172,0.885,0.00514,-1.168,1.754,1.638,-1.977,0.247,64,0.00385,0,,,,,
USDJPY,C_ext,ext,long,directionlong_exitatr_1.5_1.5_familyext_lookback126_q0.05,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",146,15.259,0.10451,3.192,5.428,3.606,-4.204,8.023,60,0.13372,0,84.5,1.443,12.151,1,
USDJPY,C_ext,ext,long,directionlong_exitatr_1.5_1.5_familyext_lookback126_q0.1,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 126, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",203,16.266,0.08013,-1.816,5.824,6.408,-5.255,5.162,80,0.06453,0,69.5,0.936,12.338,1,
USDJPY,C_ext,ext,long,directionlong_exitatr_1.5_1.5_familyext_lookback252_q0.05,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",102,14.641,0.14354,-1.504,4.573,3.71,-3.114,3.664,43,0.08521,0,,,,,
USDJPY,C_ext,ext,long,directionlong_exitatr_1.5_1.5_familyext_lookback252_q0.1,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'ext', 'lookback': 252, 'n_down': 5, 'q': 0.1, 'range_filter': False, 'trigger': 'sig'}",162,26.311,0.16241,1.326,7.135,3.542,-3.149,8.854,65,0.13621,0,86.5,2.272,13.514,1,
